村里,姓名,年齡,COUNTY_ID,TOWN_ID,VILLAGE_ID,OBJECT_ID
宜蘭縣蘇澳鎮南安里,林金源,51,10002,10002030,018,318
宜蘭縣蘇澳鎮南正里,林敏宏,51,10002,10002030,019,319
宜蘭縣蘇澳鎮南成里,張誠烋,60,10002,10002030,020,320
宜蘭縣蘇澳鎮南興里,黃金來,64,10002,10002030,021,321
宜蘭縣蘇澳鎮南寧里,楊彩緹,38,10002,10002030,022,322
宜蘭縣蘇澳鎮南建里,吳金龍,55,10002,10002030,023,323
宜蘭縣蘇澳鎮東澳里,陳德男,71,10002,10002030,024,324
宜蘭縣蘇澳鎮南強里,黃兆盛,74,10002,10002030,025,325
宜蘭縣蘇澳鎮朝陽里,李順義,59,10002,10002030,026,326
宜蘭縣頭城鎮石城里,沈榮華,62,10002,10002040,001,327
宜蘭縣頭城鎮大里里,尤添丁,66,10002,10002040,002,328
宜蘭縣頭城鎮龜山里,簡英俊,63,10002,10002040,024,349
宜蘭縣頭城鎮大溪里,沈瑞雲,56,10002,10002040,003,329
宜蘭縣頭城鎮合興里,張正益,60,10002,10002040,004,330
宜蘭縣頭城鎮更新里,陳繼錫,54,10002,10002040,005,331
宜蘭縣頭城鎮外澳里,石錫煌,53,10002,10002040,006,332
宜蘭縣頭城鎮港口里,李隆吉,72,10002,10002040,007,333
宜蘭縣頭城鎮武營里,游國琛,49,10002,10002040,008,334
宜蘭縣頭城鎮大坑里,陳錫華,58,10002,10002040,009,335
宜蘭縣頭城鎮城東里,游錫財,55,10002,10002040,010,3346
宜蘭縣頭城鎮城北里,李木連,58,10002,10002040,011,336
宜蘭縣頭城鎮城西里,李長鎮,72,10002,10002040,012,337
宜蘭縣頭城鎮城南里,林春三,45,10002,10002040,013,338
宜蘭縣頭城鎮竹安里,陳森銘,62,10002,10002040,014,339
宜蘭縣頭城鎮新建里,劉清德,81,10002,10002040,015,340
宜蘭縣頭城鎮拔雅里,黃正來,72,10002,10002040,016,341
宜蘭縣頭城鎮福成里,鄒榮富,55,10002,10002040,017,342
宜蘭縣頭城鎮金面里,劉榮華,56,10002,10002040,018,343
宜蘭縣頭城鎮金盈里,林漢龍,61,10002,10002040,019,344
宜蘭縣頭城鎮頂埔里,邱寅次,73,10002,10002040,020,345
宜蘭縣頭城鎮下埔里,林太源,68,10002,10002040,021,346
宜蘭縣頭城鎮中崙里,蕭建明,60,10002,10002040,022,347
宜蘭縣頭城鎮二城里,張金連,52,10002,10002040,023,348
宜蘭縣礁溪鄉白雲村,陸天賜,61,10002,10002050,001,7796
宜蘭縣礁溪鄉玉石村,游松棋,75,10002,10002050,002,350
宜蘭縣礁溪鄉德陽村,林弘堅,59,10002,10002050,003,351
宜蘭縣礁溪鄉大忠村,藍三郎,73,10002,10002050,004,352
宜蘭縣礁溪鄉大義村,林祥傳,67,10002,10002050,005,353
宜蘭縣礁溪鄉六結村,林如柱,56,10002,10002050,006,354
宜蘭縣礁溪鄉二龍村,林義成,65,10002,10002050,007,355
宜蘭縣礁溪鄉時潮村,顏玉桂,57,10002,10002050,008,356
宜蘭縣礁溪鄉玉田村,游新爐,60,10002,10002050,009,357
宜蘭縣礁溪鄉三民村,林阿連,71,10002,10002050,010,358
宜蘭縣礁溪鄉林美村,游有德,69,10002,10002050,011,359
宜蘭縣礁溪鄉白鵝村,游壬癸,53,10002,10002050,012,360
宜蘭縣礁溪鄉玉光村,莊春土,62,10002,10002050,013,361
宜蘭縣礁溪鄉光武村,林文進,65,10002,10002050,014,362
宜蘭縣礁溪鄉吳沙村,賴增田,73,10002,10002050,015,363
宜蘭縣礁溪鄉龍潭村,吳文生,58,10002,10002050,016,364
宜蘭縣礁溪鄉匏崙村,黃朝明,64,10002,10002050,017,365
宜蘭縣礁溪鄉二結村,李銘達,64,10002,10002050,018,366
宜蘭縣壯圍鄉吉祥村,莊進興,56,10002,10002060,001,314
宜蘭縣壯圍鄉古結村,賴建國,50,10002,10002060,014,378
宜蘭縣壯圍鄉美福村,李茂男,71,10002,10002060,002,315
宜蘭縣壯圍鄉新南村,林旺枝,72,10002,10002060,003,316
宜蘭縣壯圍鄉東港村,潘建淵,62,10002,10002060,004,317
宜蘭縣壯圍鄉復興村,王德山,78,10002,10002060,005,418
宜蘭縣壯圍鄉過嶺村,郭進德,65,10002,10002060,006,419
宜蘭縣壯圍鄉永鎮村,李照福,72,10002,10002060,007,420
宜蘭縣壯圍鄉忠孝村,莊朝明,57,10002,10002060,008,421
宜蘭縣壯圍鄉古亭村,鄭文展,55,10002,10002060,009,422
宜蘭縣壯圍鄉功勞村,林銖生,58,10002,10002060,010,423
宜蘭縣壯圍鄉美城村,吳達,63,10002,10002060,011,375
宜蘭縣壯圍鄉新社村,周汶靚,55,10002,10002060,012,376
宜蘭縣壯圍鄉大福村,陳新添,65,10002,10002060,013,377
宜蘭縣員山鄉員山村,楊榮振,49,10002,10002070,001,379
宜蘭縣員山鄉尚德村,林朝城,78,10002,10002070,002,380
宜蘭縣員山鄉惠好村,黃永乾,59,10002,10002070,003,398
宜蘭縣員山鄉七賢村,高明芳,45,10002,10002070,004,399
宜蘭縣員山鄉深溝村,謝阿牛,77,10002,10002070,005,400
宜蘭縣員山鄉蓁巷村,陳清全,66,10002,10002070,006,401
宜蘭縣員山鄉內城村,朱火金,55,10002,10002070,007,402
宜蘭縣員山鄉中華村,周文科,56,10002,10002070,008,403
宜蘭縣員山鄉永和村,陳温良,57,10002,10002070,009,404
宜蘭縣員山鄉頭分村,石田中,77,10002,10002070,010,405
宜蘭縣員山鄉枕山村,李朝成,64,10002,10002070,011,406
宜蘭縣員山鄉同樂村,林駿愿,55,10002,10002070,012,407
宜蘭縣員山鄉湖東村,鄭金釧,60,10002,10002070,013,408
宜蘭縣員山鄉逸仙村,林春煌,72,10002,10002070,014,409
宜蘭縣員山鄉湖北村,李文添,69,10002,10002070,015,410
宜蘭縣員山鄉湖西村,張明昌,63,10002,10002070,016,411
宜蘭縣冬山鄉珍珠村,林坤煌,56,10002,10002080,002,413
宜蘭縣冬山鄉補城村,黃安平,79,10002,10002080,003,414
宜蘭縣冬山鄉三奇村,李正雄,55,10002,10002080,004,415
宜蘭縣冬山鄉大興村,陳松根,66,10002,10002080,005,416
宜蘭縣冬山鄉東城村,黃萬金,59,10002,10002080,006,417
宜蘭縣冬山鄉香和村,許淥洲,74,10002,10002080,007,381
宜蘭縣冬山鄉南興村,賴雲坤,63,10002,10002080,008,382
宜蘭縣冬山鄉安平村,陳長義,73,10002,10002080,010,384
宜蘭縣冬山鄉冬山村,林錦海,77,10002,10002080,009,383
宜蘭縣冬山鄉太和村,游源崇,60,10002,10002080,011,385
宜蘭縣冬山鄉八寶村,賴木枝,77,10002,10002080,012,386
宜蘭縣冬山鄉丸山村,游博良,74,10002,10002080,013,387
宜蘭縣冬山鄉中山村,李振福,51,10002,10002080,014,388
宜蘭縣冬山鄉順安村,林正欽,58,10002,10002080,015,389
宜蘭縣冬山鄉永美村,詹素華,53,10002,10002080,016,390
宜蘭縣冬山鄉武淵村,林文成,73,10002,10002080,001,412
宜蘭縣冬山鄉群英村,廖政國,62,10002,10002080,017,391
宜蘭縣冬山鄉清溝村,林興家,59,10002,10002080,018,392
宜蘭縣冬山鄉鹿埔村,江蒼文,74,10002,10002080,019,393
宜蘭縣冬山鄉得安村,陳世英,68,10002,10002080,020,394
宜蘭縣冬山鄉廣興村,曾炳茂,79,10002,10002080,021,7797
宜蘭縣冬山鄉廣安村,黃順來,74,10002,10002080,022,395
宜蘭縣冬山鄉柯林村,黃正宗,77,10002,10002080,023,396
宜蘭縣冬山鄉大進村,藍細川,68,10002,10002080,024,397
宜蘭縣五結鄉三興村,沈福助,69,10002,10002090,001,503
宜蘭縣五結鄉二結村,簡汝育,70,10002,10002090,002,504
宜蘭縣五結鄉鎮安村,張朝松,56,10002,10002090,003,505
宜蘭縣五結鄉上四村,簡瑞和,76,10002,10002090,004,506
宜蘭縣五結鄉中興村,廖建忠,62,10002,10002090,005,507
宜蘭縣五結鄉四結村,陳鋕淮,79,10002,10002090,006,508
宜蘭縣五結鄉福興村,張新華,53,10002,10002090,007,509
宜蘭縣五結鄉五結村,黃文宏,46,10002,10002090,008,510
宜蘭縣五結鄉協和村,黃鐙山,71,10002,10002090,010,425
宜蘭縣五結鄉大吉村,林秀英,64,10002,10002090,009,424
宜蘭縣五結鄉孝威村,林圳源,66,10002,10002090,011,426
宜蘭縣五結鄉錦眾村,邱政富,59,10002,10002090,012,427
宜蘭縣五結鄉利澤村,林何良,53,10002,10002090,013,428
宜蘭縣五結鄉成興村,張金發,63,10002,10002090,014,429
宜蘭縣五結鄉季新村,林炎坤,61,10002,10002090,015,430
宜蘭縣三星鄉員山村,周正義,73,10002,10002100,001,431
宜蘭縣三星鄉天山村,鄭玉寅,56,10002,10002100,002,432
宜蘭縣三星鄉天福村,宋隆欽,54,10002,10002100,003,433
宜蘭縣三星鄉萬德村,陳長森,41,10002,10002100,012,459
宜蘭縣三星鄉貴林村,林定東,53,10002,10002100,013,460
宜蘭縣三星鄉萬富村,羅惠恩,59,10002,10002100,014,461
宜蘭縣三星鄉雙賢村,楊正雄,70,10002,10002100,004,434
宜蘭縣三星鄉人和村,廖焰,72,10002,10002100,005,435
宜蘭縣三星鄉義德村,曾運玉,71,10002,10002100,006,436
宜蘭縣三星鄉集慶村,彭正賢,57,10002,10002100,007,437
宜蘭縣三星鄉月眉村,陳燦隆,73,10002,10002100,008,438
宜蘭縣三星鄉拱照村,鄭阿財,71,10002,10002100,009,439
宜蘭縣三星鄉行健村,吳清溪,76,10002,10002100,011,458
宜蘭縣三星鄉大隱村,范期勛,53,10002,10002100,010,440
宜蘭縣三星鄉大義村,鄭坤宗,63,10002,10002100,015,462
宜蘭縣三星鄉尚武村,陳慧琳,47,10002,10002100,016,463
宜蘭縣三星鄉大洲村,陳潮雄,57,10002,10002100,017,464
宜蘭縣三星鄉尾塹村,張越登,41,10002,10002100,018,7744
宜蘭縣大同鄉寒溪村,陳兆枝,56,10002,10002110,001,465
宜蘭縣大同鄉崙埤村,卡文米內,63,10002,10002110,002,466
宜蘭縣大同鄉松羅村,鄧李阿菊,62,10002,10002110,003,467
宜蘭縣大同鄉復興村,陳金旺,74,10002,10002110,004,468
宜蘭縣大同鄉英士村,張阿玉,53,10002,10002110,005,3176
宜蘭縣大同鄉樂水村,簡進,58,10002,10002110,006,469
宜蘭縣大同鄉太平村,李銘宜,47,10002,10002110,007,4175
宜蘭縣大同鄉茂安村,陳有為,48,10002,10002110,010,472
宜蘭縣大同鄉四季村,黃金海,47,10002,10002110,008,470
宜蘭縣大同鄉南山村,呂萬福,49,10002,10002110,009,471
宜蘭縣南澳鄉東岳村,謝昌國,50,10002,10002120,003,475
宜蘭縣南澳鄉南澳村,林昭輝,58,10002,10002120,001,473
宜蘭縣南澳鄉碧候村,蘇靈后,57,10002,10002120,002,474
宜蘭縣南澳鄉金岳村,李忠信,64,10002,10002120,004,476
宜蘭縣南澳鄉武塔村,游約翰,58,10002,10002120,005,3951
宜蘭縣南澳鄉金洋村,范守臣,49,10002,10002120,006,477
宜蘭縣南澳鄉澳花村,羅竹金,58,10002,10002120,007,478
桃園縣桃園市大林里,牛阡源,54,10003,10003010,004,4016
桃園縣桃園市雲林里,藍阿杉,69,10003,10003010,032,4017
桃園縣桃園市大豐里,彭俊衡,29,10003,10003010,043,4018
桃園縣桃園市福林里,李振華,50,10003,10003010,033,3975
桃園縣桃園市福安里,陳義樹,65,10003,10003010,044,3925
桃園縣桃園市豐林里,楊昌軒,75,10003,10003010,041,3928
桃園縣桃園市建國里,徐揚帆,70,10003,10003010,042,3919
桃園縣桃園市武陵里,謝翔安,59,10003,10003010,003,3930
桃園縣桃園市民生里,林富明,64,10003,10003010,008,3905
桃園縣桃園市文化里,歐陽瀚,45,10003,10003010,001,3935
桃園縣桃園市文明里,黃文義,66,10003,10003010,002,3943
桃園縣桃園市文昌里,陳銘福,57,10003,10003010,021,3915
桃園縣桃園市南門里,吳宏泰,56,10003,10003010,026,3940
桃園縣桃園市南華里,林献堂,49,10003,10003010,027,3939
桃園縣桃園市西門里,陳美卿,66,10003,10003010,019,3972
桃園縣桃園市西湖里,廖益鋒,79,10003,10003010,025,3913
桃園縣桃園市長美里,呂進益,66,10003,10003010,007,3911
桃園縣桃園市永興里,葉昆展,43,10003,10003010,009,3966
桃園縣桃園市中興里,藍俊德,65,10003,10003010,040,3962
桃園縣桃園市光興里,邱秀,59,10003,10003010,034,3908
桃園縣桃園市中和里,許水來,62,10003,10003010,020,3963
桃園縣桃園市北門里,蕭日青,75,10003,10003010,031,3954
桃園縣桃園市中路里,温淑惠,57,10003,10003010,054,3912
桃園縣桃園市中信里,蕭文福,57,10003,10003010,062,3910
桃園縣桃園市中山里,李元宏,71,10003,10003010,023,3946
桃園縣桃園市中平里,顏秀錦,49,10003,10003010,064,3945
桃園縣桃園市中原里,張豐田,72,10003,10003010,065,3927
桃園縣桃園市中泰里,蘇介一,67,10003,10003010,066,4013
桃園縣桃園市中聖里,崔美瑛,50,10003,10003010,070,3922
桃園縣桃園市中德里,蔡秀星,59,10003,10003010,055,4021
桃園縣桃園市中正里,蔡中文,59,10003,10003010,030,3904
桃園縣桃園市文中里,陳敏全,48,10003,10003010,052,3958
桃園縣桃園市中成里,潘萬益,45,10003,10003010,029,3869
桃園縣桃園市玉山里,魏國鈞,62,10003,10003010,028,3941
桃園縣桃園市泰山里,游輝居,59,10003,10003010,053,3942
桃園縣桃園市龍岡里,周玉樹,55,10003,10003010,036,3914
桃園縣桃園市龍安里,蕭卉君,35,10003,10003010,060,3960
桃園縣桃園市龍鳳里,黃進強,63,10003,10003010,059,3944
桃園縣桃園市龍祥里,蔡清俊,71,10003,10003010,056,3918
桃園縣桃園市龍壽里,王培強,53,10003,10003010,071,3947
桃園縣桃園市龍山里,林曾麗環,62,10003,10003010,035,3921
桃園縣桃園市東埔里,李培鈺,42,10003,10003010,012,3851
桃園縣桃園市信光里,魏建仁,59,10003,10003010,048,3867
桃園縣桃園市永安里,莊育達,51,10003,10003010,011,3955
桃園縣桃園市中寧里,陳明輝,62,10003,10003010,049,3864
桃園縣桃園市同德里,張秀好,56,10003,10003010,072,3854
桃園縣桃園市明德里,廖坤徽,57,10003,10003010,073,3832
桃園縣桃園市中埔里,李阿進,60,10003,10003010,017,3838
桃園縣桃園市南埔里,張寶鑾,53,10003,10003010,067,3871
桃園縣桃園市寶慶里,汝志超,52,10003,10003010,068,3860
桃園縣桃園市寶安里,陳月花,47,10003,10003010,074,3841
桃園縣桃園市北埔里,賴偏舟,61,10003,10003010,069,3900
桃園縣桃園市瑞慶里,徐麗玉,56,10003,10003010,075,3830
桃園縣桃園市西埔里,林正慶,64,10003,10003010,018,3889
桃園縣桃園市慈文里,錡春發,55,10003,10003010,024,3872
桃園縣桃園市新埔里,郭雲輝,62,10003,10003010,022,3835
桃園縣桃園市同安里,林盛漢,65,10003,10003010,050,3834
桃園縣桃園市莊敬里,李新萬,58,10003,10003010,051,3892
桃園縣桃園市自強里,陳林雲華,60,10003,10003010,061,3829
桃園縣桃園市長安里,謝曉華,40,10003,10003010,016,3850
桃園縣桃園市長德里,林李福,62,10003,10003010,063,3847
桃園縣桃園市朝陽里,卓林秀蘭,76,10003,10003010,039,3853
桃園縣桃園市青溪里,游萬金,67,10003,10003010,038,3845
桃園縣桃園市成功里,李秀蓮,65,10003,10003010,037,3967
桃園縣桃園市三民里,康進旺,56,10003,10003010,045,3961
桃園縣桃園市忠義里,陳永杉,68,10003,10003010,005,3842
桃園縣桃園市三元里,陳永得,52,10003,10003010,076,3866
桃園縣桃園市大興里,何金成,60,10003,10003010,046,3862
桃園縣桃園市會稽里,鄭麗花,59,10003,10003010,006,3828
桃園縣桃園市大有里,張丁元,45,10003,10003010,057,3857
桃園縣桃園市寶山里,謝進中,51,10003,10003010,058,3861
桃園縣桃園市春日里,呂梅鈺,50,10003,10003010,047,3833
桃園縣桃園市汴洲里,楊鑫坤,51,10003,10003010,010,3888
桃園縣桃園市東門里,趙世獻,66,10003,10003010,013,3969
桃園縣桃園市東山里,莊忠諒,67,10003,10003010,014,3916
桃園縣桃園市萬壽里,王學義,62,10003,10003010,015,3909
桃園縣龜山鄉精忠村,吳陳巧珠,65,10003,10003070,008,3852
桃園縣龜山鄉陸光村,聶哲淵,50,10003,10003070,007,3903
桃園縣龜山鄉中興村,許瑞,55,10003,10003070,013,3902
桃園縣龜山鄉新興村,呂儒淵,61,10003,10003070,030,3938
桃園縣龜山鄉新路村,呂學鐘,62,10003,10003070,015,3907
桃園縣龜山鄉龜山村,許石義,74,10003,10003070,002,3846
桃園縣龜山鄉大同村,鄭清木,61,10003,10003070,004,3959
桃園縣龜山鄉山頂村,黃呈科,52,10003,10003070,006,3920
桃園縣龜山鄉山德村,陳專泰,76,10003,10003070,014,3934
桃園縣龜山鄉山福村,劉德豐,58,10003,10003070,005,3933
桃園縣龜山鄉幸福村,黃萬吉,58,10003,10003070,022,3923
桃園縣龜山鄉龍壽村,簡明發,63,10003,10003070,017,3837
桃園縣龜山鄉龍華村,許水鈍,76,10003,10003070,024,3831
桃園縣龜山鄉迴龍村,江清萬,55,10003,10003070,025,3899
桃園縣龜山鄉嶺頂村,呂博夫,75,10003,10003070,016,3844
桃園縣龜山鄉新嶺村,范發章,58,10003,10003070,026,3957
桃園縣龜山鄉兔坑村,鍾國才,49,10003,10003070,003,3965
桃園縣龜山鄉福源村,顏福來,58,10003,10003070,023,3926
桃園縣龜山鄉舊路村,陳有財,72,10003,10003070,018,3880
桃園縣龜山鄉大坑村,游輝鐘,62,10003,10003070,012,3748
桃園縣龜山鄉楓樹村,陳樹源,52,10003,10003070,001,3881
桃園縣龜山鄉樂善村,褚建昌,71,10003,10003070,010,3746
桃園縣龜山鄉長庚村,王家一,39,10003,10003070,029,3749
桃園縣龜山鄉公西村,陳銀河,60,10003,10003070,009,7743
桃園縣龜山鄉大崗村,卓進財,68,10003,10003070,019,3755
桃園縣龜山鄉大湖村,蔡招治,51,10003,10003070,027,3751
桃園縣龜山鄉大華村,潘素秋,49,10003,10003070,028,3757
桃園縣龜山鄉文化村,黃明助,53,10003,10003070,020,3752
桃園縣龜山鄉南上村,陳鼎景,62,10003,10003070,011,3727
桃園縣龜山鄉南美村,黃雅蓉,46,10003,10003070,021,3728
桃園縣八德市興仁里,邱清慶,67,10003,10003080,001,4185
桃園縣八德市福興里,呂錦城,60,10003,10003080,002,4105
桃園縣八德市瑞豐里,呂學琪,49,10003,10003080,003,4136
桃園縣八德市瑞興里,林昆德,56,10003,10003080,040,4128
桃園縣八德市廣興里,呂理亮,56,10003,10003080,007,4034
桃園縣八德市廣德里,吳在能,61,10003,10003080,044,4118
桃園縣八德市廣隆里,李水木,72,10003,10003080,008,4022
桃園縣八德市瑞德里,康秀雲,55,10003,10003080,005,4133
桃園縣八德市瑞祥里,林彩卿,47,10003,10003080,006,4184
桃園縣八德市瑞發里,安照榮,48,10003,10003080,004,4177
桃園縣八德市瑞泰里,褚明賢,58,10003,10003080,028,4108
桃園縣八德市竹園里,王聖諸,62,10003,10003080,009,4092
桃園縣八德市龍友里,姜因龍,58,10003,10003080,045,4183
桃園縣八德市霄裡里,陳松銀,71,10003,10003080,010,4178
桃園縣八德市茄苳里,吳瑞芳,53,10003,10003080,011,4011
桃園縣八德市永豐里,趙令城,59,10003,10003080,047,3993
桃園縣八德市茄明里,邱茂雄,71,10003,10003080,038,4015
桃園縣八德市高明里,呂峻安,52,10003,10003080,012,3995
桃園縣八德市高城里,陳傳民,63,10003,10003080,039,3979
桃園縣八德市白鷺里,黃慶玉,49,10003,10003080,013,3987
桃園縣八德市大湳里,鄭桂林,58,10003,10003080,014,3988
桃園縣八德市大安里,林坤煌,58,10003,10003080,015,4056
桃園縣八德市大興里,呂理章,59,10003,10003080,016,4052
桃園縣八德市大愛里,黃華隆,55,10003,10003080,041,4057
桃園縣八德市大和里,夏發勝,65,10003,10003080,017,4059
桃園縣八德市大仁里,張國平,62,10003,10003080,026,4008
桃園縣八德市大華里,王福順,62,10003,10003080,025,4058
桃園縣八德市大順里,簡建勳,67,10003,10003080,048,4090
桃園縣八德市大信里,陳虹樺,45,10003,10003080,024,4097
桃園縣八德市大發里,李東標,56,10003,10003080,032,4072
桃園縣八德市大竹里,江正俊,70,10003,10003080,034,4039
桃園縣八德市大昌里,曾萬水,63,10003,10003080,029,4086
桃園縣八德市大明里,呂新添,57,10003,10003080,033,4007
桃園縣八德市大同里,胡永達,50,10003,10003080,018,4031
桃園縣八德市陸光里,白振雄,53,10003,10003080,046,4083
桃園縣八德市大福里,呂學昌,49,10003,10003080,022,3990
桃園縣八德市大勇里,劉信通,59,10003,10003080,023,4000
桃園縣八德市大千里,呂黎靜,55,10003,10003080,036,4025
桃園縣八德市大漢里,王標輝,60,10003,10003080,043,4081
桃園縣八德市大義里,尤金源,59,10003,10003080,020,4075
桃園縣八德市大榮里,柯文良,64,10003,10003080,037,4068
桃園縣八德市大忠里,陳國文,53,10003,10003080,021,4024
桃園縣八德市大成里,游能吉,56,10003,10003080,019,4046
桃園縣八德市大慶里,張文福,68,10003,10003080,035,4028
桃園縣八德市大智里,邱繼村,54,10003,10003080,027,4069
桃園縣八德市大宏里,鍾定昌,59,10003,10003080,042,3986
桃園縣八德市大正里,郭明法,44,10003,10003080,030,4004
桃園縣八德市大強里,陳春煌,65,10003,10003080,031,3998
桃園縣蘆竹鄉新興村,呂宗聖,54,10003,10003050,001,3836
桃園縣蘆竹鄉新莊村,王金榮,67,10003,10003050,003,3883
桃園縣蘆竹鄉中福村,康廷輝,58,10003,10003050,002,3839
桃園縣蘆竹鄉大竹村,黃榮祈,49,10003,10003050,004,3894
